Jun 05 2023     09:20:31 am     Elt: 000240 Seconds.  Real Time: 000240
ID: No spectrum identifier defined
Memory Size: 1024 Chls  Conversion Gain: 1024  Adc Offset: 0000 Chls
 305         0  000
 306         0  000
 307         1  000
 308         0  000
 309         0  000
 310         0  000
 311         0  000
 312         0  000
 313         0  000
 314         0  000
 315         0  000
 316         0  000
 317         0  000
 318         0  000
 319         0  000
 320         0  000
 321         1  000
 322         0  000
 323         0  000
 324         0  000
 325         0  000
 326         0  000
 327         1  000
 328         1  000
 329         0  000
 330         0  000
 331         0  000
 332         2  000
 333         0  000
 334         0  000
 335         0  000
 336         0  000
 337         0  000
 338         0  000
 339         2  000
 340         0  000
 341         1  000
 342         0  000
 343         0  000
 344         0  000
 345         0  000
 346         1  000
 347         0  000
 348         1  000
 349         0  000
 350         0  000
 351         0  000
 352         0  000
 353         1  000
 354         0  000
 355         0  000
 356         0  000
 357         0  000
 358         0  000
 359         1  000
 360         0  000
 361         0  000
 362         0  000
 363         0  000
 364         0  000
 365         1  000
 366         0  000
 367         1  000
 368         0  000
 369         0  000
 370         0  000
 371         0  000
 372         0  000
 373         1  000
 374         1  000
 375         0  000
 376         1  000
 377         0  000
 378         1  000
 379         1  000
 380         1  000
 381         1  000
 382         0  000
 383         0  000
 384         0  000
 385         0  000
 386         0  000
 387         1  000
 388         0  000
 389         0  000
 390         0  000
 391         0  000
 392         1  000
 393         0  000
 394         0  000
 395         1  000
 396         0  000
 397         0  000
 398         0  000
 399         1  000
 400         0  000
 401         0  000
 402         0  000
 403         0  000
 404         1  000
 405         0  000
 406         3  000
 407         1  000
 408         0  000
 409         0  000
 410         0  000
 411         0  000
 412         2  000
 413         1  000
 414         1  000
 415         2  000
 416         0  000
 417         0  000
 418         0  000
 419         1  000
 420         0  000
 421         0  000
 422         1  000
 423         0  000
 424         0  000
 425         0  000
 426         1  000
 427         0  000
 428         1  000
 429         0  000
 430         0  000
 431         0  000
 432         1  000
 433         2  000
 434         0  000
 435         0  000
 436         1  000
 437         1  000
 438         1  000
 439         0  000
 440         0  000
 441         0  000
 442         1  000
 443         1  000
 444         0  000
 445         1  000
 446         0  000
 447         0  000
 448         0  000
 449         0  000
 450         1  000
 451         0  000
 452         1  000
 453         1  000
 454         1  000
 455         0  000
 456         0  000
 457         2  000
 458         1  000
 459         0  000
 460         0  000
 461         0  000
 462         0  000
 463         0  000
 464         0  000
 465         2  000
 466         1  000
 467         1  000
 468         0  000
 469         1  000
 470         2  000
 471         0  000
 472         0  000
 473         1  000
 474         1  000
 475         2  000
 476         1  000
 477         0  000
 478         1  000
 479         1  000
 480         0  000
 481         2  000
 482         2  000
 483         2  000
 484         1  000
 485         0  000
 486         1  000
 487         1  000
 488         1  000
 489         0  000
 490         1  000
 491         1  000
 492         2  000
 493         0  000
 494         1  000
 495         1  000
 496         2  000
 497         2  000
 498         0  000
 499         2  000
 500         1  000
 501         1  000
 502         0  000
 503         0  000
 504         2  000
 505         0  000
 506         0  000
 507         0  000
 508         3  000
 509         1  000
 510         0  000
 511         1  000
 512         0  000
 513         0  000
 514         2  000
 515         1  000
 516         3  000
 517         2  000
 518         2  000
 519         3  000
 520         2  000
 521         2  000
 522         5  000
 523         0  000
 524         1  000
 525         2  000
 526         0  000
 527         0  000
 528         1  000
 529         1  000
 530         1  000
 531         3  000
 532         0  000
 533         1  000
 534         1  000
 535         2  000
 536         2  000
 537         0  000
 538         1  000
 539         2  000
 540         3  000
 541         2  000
 542         0  000
 543         1  000
 544         1  000
 545         2  000
 546         1  000
 547         3  000
 548         1  000
 549         1  000
 550         3  000
 551         1  000
 552         1  000
 553         2  000
 554         3  000
 555         3  000
 556         1  000
 557         2  000
 558         1  000
 559         1  000
 560         1  000
 561         3  000
 562         1  000
 563         1  000
 564         2  000
 565         2  000
 566         6  000
 567         3  000
 568         3  000
 569         3  000
 570         1  000
 571         2  000
 572         3  000
 573         2  000
 574         3  000
 575         1  000
 576         4  000
 577         1  000
 578         1  000
 579         1  000
 580         4  000
 581         1  000
 582         2  000
 583         0  000
 584         0  000
 585         2  000
 586         1  000
 587         5  000
 588         0  000
 589         2  000
 590         3  000
 591         2  000
 592         2  000
 593         3  000
 594         1  000
 595         2  000
 596         1  000
 597         3  000
 598         1  000
 599         5  000
 600         4  000
 601         2  000
 602         2  000
 603         2  000
 604         4  000
 605         2  000
 606         2  000
 607         0  000
 608         3  000
 609         4  000
 610         3  000
 611         4  000
 612         3  000
 613         4  000
 614         3  000
 615         1  000
 616         5  000
 617         3  000
 618         3  000
 619         5  000
 620         3  000
 621         5  000
 622         4  000
 623         4  000
 624         7  000
 625         9  000
 626         1  000
 627         4  000
 628        11  000
 629         3  000
 630         4  000
 631         2  000
 632         5  000
 633         4  000
 634         2  000
 635         7  000
 636         3  000
 637         6  000
 638         5  000
 639         8  000
 640         5  000
 641        15  000
 642        12  000
 643         4  000
 644         4  000
 645         4  000
 646         5  000
 647         2  000
 648         8  000
 649        10  000
 650         9  000
 651         9  000
 652         5  000
 653        10  000
 654         9  000
 655        11  000
 656         8  000
 657        14  000
 658        10  000
 659         6  000
 660         7  000
 661         9  000
 662         7  000
 663        15  000
 664         9  000
 665         9  000
 666         8  000
 667        17  000
 668        14  000
 669        16  000
 670        13  000
 671        19  000
 672        25  000
 673        20  000
 674        26  000
 675        20  000
 676        30  000
 677        28  000
 678        34  000
 679        25  000
 680        24  000
 681        25  000
 682        35  000
 683        36  000
 684        44  000
 685        49  000
 686        50  000
 687        50  000
 688        51  000
 689        85  000
 690        65  001
 691        68  001
 692        87  001
 693       134  001
 694       133  001
 695       184  001
 696       255  001
 697       331  001
 698       312  001
 699       282  001
 700       362  001
 701       534  001
 702       916  001
 703      1394  001
 704      1921  001
 705      2125  001
 706      2446  001
 707      3310  001
 708      5414  001
 709      7991  001
 710      9106  001
 711      7157  001
 712      3907  001
 713      1630  001
 714       678  001
 715       348  001
 716       178  001
 717       117  000
 718        84  000
 719        42  000
 720        23  000
 721         9  000
 722         3  000
 723         2  000
 724         0  000
 725         0  000
 726         1  000
 727         0  000
 728         0  000
 729         0  000
 730         0  000
 731         0  000
 732         0  000
 733         0  000
 734         0  000
 735         0  000
 736         0  000
 737         0  000
 738         0  000
 739         0  000
 740         0  000
 741         0  000
 742         0  000
 743         0  000
 744         0  000
 745         0  000
 746         0  000
 747         0  000
 748         0  000
 749         0  000
 750         0  000
 751         0  000
 752         0  000
 753         0  000
 754         0  000
 755         0  000
 756         0  000
 757         0  000
 758         0  000
 759         0  000
 760         0  000
 761         0  000
 762         0  000
 763         0  000
 764         0  000
 765         0  000
 766         0  000
 767         0  000
 768         0  000
 769         0  000
 770         0  000
 771         0  000
 772         0  000
 773         0  000
 774         0  000
 775         0  000
 776         0  000
 777         0  000
 778         0  000
 779         0  000
 780         0  000
 781         0  000
 782         0  000
 783         0  000
 784         0  000
 785         0  000
 786         0  000
 787         0  000
 788         0  000
 789         0  000
 790         0  000
 791         0  000
 792         0  000
 793         0  000
 794         0  000
 795         0  000
 796         0  000
 797         0  000
 798         0  000
 799         0  000
 800         0  000
 801         0  000
 802         0  000
 803         0  000
 804         0  000
 805         0  000
 806         0  000
 807         0  000
 808         0  000
 809         0  000
 810         0  000
 811         0  000
 812         0  000
 813         0  000
 814         0  000
 815         0  000
 816         0  000
 817         0  000
 818         0  000
 819         0  000
 820         0  000
 821         0  000
 822         0  000
 823         0  000
 824         0  000
 825         0  000
 826         0  000
 827         0  000
 828         0  000
 829         0  000
 830         0  000
 831         0  000
 832         0  000
 833         0  000
 834         0  000
 835         0  000
 836         0  000
 837         0  000
 838         0  000
 839         0  000
 840         0  000
 841         0  000
 842         0  000
 843         0  000
 844         0  000
 845         0  000
 846         0  000
 847         0  000
 848         0  000
 849         0  000
 850         0  000
 851         0  000
 852         0  000
 853         0  000
 854         0  000
 855         0  000
 856         0  000
 857         0  000
 858         0  000
 859         0  000
 860         0  000
 861         0  000
 862         0  000
 863         0  000
 864         0  000
 865         0  000
 866         0  000
 867         0  000
 868         0  000
 869         0  000
 870         0  000
 871         0  000
 872         0  000
 873         0  000
 874         0  000
 875         0  000
 876         0  000
 877         0  000
 878         0  000
 879         0  000
 880         0  000
 881         0  000
 882         0  000
 883         0  000
 884         0  000
 885         0  000
 886         0  000
 887         0  000
 888         0  000
 889         0  000
 890         0  000
 891         0  000
 892         0  000
 893         0  000
 894         0  000
 895         0  000
 896         0  000
 897         0  000
 898         0  000
 899         0  000
 900         0  000
 901         0  000
 902         0  000
 903         0  000
 904         0  000
 905         0  000
 906         0  000
 907         0  000
 908         0  000
 909         0  000
 910         0  000
 911         0  000
 912         0  000
 913         0  000
 914         0  000
 915         0  000
 916         0  000
 917         0  000
 918         0  000
 919         0  000
 920         0  000
 921         0  000
 922         0  000
 923         0  000
 924         0  000
 925         0  000
 926         0  000
 927         0  000
 928         0  000
 929         0  000
 930         0  000
 931         0  000
 932         0  000
 933         0  000
 934         0  000
 935         0  000
 936         0  000
 937         0  000
 938         0  000
 939         0  000
 940         0  000
 941         0  000
 942         0  000
 943         0  000
 944         0  000
 945         0  000
 946         0  000
 947         0  000
 948         0  000
 949         0  000
 950         0  000
 951         0  000
 952         0  000
 953         0  000
 954         0  000
 955         0  000
 956         0  000
 957         0  000
 958         0  000
 959         0  000
 960         0  000
 961         0  000
 962         0  000
 963         0  000
 964         0  000
 965         0  000
 966         0  000
 967         0  000
 968         0  000
 969         0  000
 970         0  000
 971         0  000
 972         0  000
 973         0  000
 974         0  000
 975         0  000
 976         0  000
 977         0  000
 978         0  000
 979         0  000
 980         0  000
 981         0  000
 982         0  000
 983         0  000
 984         0  000
 985         0  000
 986         0  000
 987         0  000
 988         0  000
 989         0  000
 990         0  000
 991         0  000
 992         0  000
 993         0  000
 994         0  000
 995         0  000
 996         0  000
 997         0  000
 998         0  000
 999         0  000
1000         0  000
1001         0  000
1002         0  000
1003         0  000
1004         0  000
1005         0  000
1006         0  000
1007         0  000
1008         0  000
1009         0  000
1010         0  000
1011         0  000
1012         0  000
1013         0  000
1014         0  000
1015         0  000
1016         0  000
1017         0  000
1018         0  000
1019         0  000
1020         0  000
1021         0  000
1022         0  000
1023         0  000

 ROI:01  Beg: 0690 Chn                           End: 0716 Chn                 
         Ctrd:     709.78 Chn                 
         Fwhm:       4.21 Chn                 
         Gross Integral:      51268 cts        Net Integral:      47394 cts
